city,city_ascii,lat,lng,admin_name,population,country_id2
Pokhvistnevo,Pokhvistnevo,53.65,52.1333,Samarskaya Oblastâ€™,28177,11
Agui,Agui,34.9325,136.9156,Aichi,28176,1
Wegberg,Wegberg,51.1333,6.2667,North Rhine-Westphalia,28175,44
Converse,Converse,29.5091,-98.3084,Texas,28171,10
Arqalyq,Arqalyq,50.2486,66.9114,Qostanay,28169,72
Chatan,Chatan,26.32,127.7639,Okinawa,28167,1
Guma,Guma,37.6168,78.2809,Xinjiang,28163,7
Circasia,Circasia,4.62,-75.6347,QuindÃ­o,28162,26
Granite City,Granite City,38.7292,-90.1266,Illinois,28158,10
Dar Bel Hamri,Dar Bel Hamri,34.1889,-5.9697,Rabat-SalÃ©-KÃ©nitra,28156,41
Warin Chamrap,Warin Chamrap,15.2008,104.8612,Ubon Ratchathani,28154,12
MeiÃŸen,Meissen,51.1636,13.4775,Saxony,28153,44
San Giovanni in Persiceto,San Giovanni in Persiceto,44.6408,11.185,Emilia-Romagna,28153,52
Gaotan,Gaotan,32.3227,108.3812,Shaanxi,28149,7
Khrestivka,Khrestivka,48.15,38.3667,Donetsâ€™ka Oblastâ€™,28149,49
Obama,Obama,35.4956,135.7467,Fukui,28142,1
Belpasso,Belpasso,37.5833,14.9833,Sicilia,28126,52
Geislingen an der Steige,Geislingen an der Steige,48.6244,9.8306,Baden-WÃ¼rttemberg,28122,44
ÄŒapljina,Capljina,43.11,17.7,"Bosnia and Herzegovina, Federation of",28122,148
Bearsden,Bearsden,55.9192,-4.3332,East Dunbartonshire,28120,21
Ipubi,Ipubi,-7.6519,-40.1489,Pernambuco,28120,5
Udomlya,Udomlya,57.8833,35.0167,Tverskaya Oblastâ€™,28119,11
Cabangan,Cabangan,15.1333,120.15,Zambales,28118,4
San Vicente dels Horts,San Vicente dels Horts,41.3932,2.0097,Catalonia,28115,33
MassamÃ¡,Massama,38.7568,-9.2748,Lisboa,28112,135
Cecina,Cecina,43.3139,10.525,Tuscany,28112,52
Monfalcone,Monfalcone,45.8,13.5333,Friuli-Venezia Giulia,28107,52
Brunssum,Brunssum,50.95,5.9667,Limburg,28103,115
SighiÅŸoara,Sighisoara,46.2169,24.7911,MureÅŸ,28102,75
Tara,Tara,56.8753,74.4136,Omskaya Oblastâ€™,28099,11
Khorugh,Khorugh,37.4917,71.5575,KÅ­histoni Badakhshon,28098,119
Hazar,Hazar,39.4,53.1167,Balkan,28095,197
Kuli,Kuli,24.7366,87.9426,West Bengal,28092,3
Mima,Mima,34.0533,134.17,Tokushima,28087,1
Qujingpu,Qujingpu,38.0814,106.0489,Ningxia,28086,7
Yukon,Yukon,35.5201,-97.7639,Oklahoma,28084,10
Khulm,Khulm,36.6833,67.6833,Balkh,28078,42
KÃ¶nigsbrunn,Konigsbrunn,48.2689,10.8908,Bavaria,28076,44
HonchÅ,Honcho,41.8958,140.6944,HokkaidÅ,28073,1
DajabÃ³n,Dajabon,19.5667,-71.71,Cibao Noroeste,28071,57
Henstedt-Ulzburg,Henstedt-Ulzburg,53.7833,10,Schleswig-Holstein,28070,44
Llallagua,Llallagua,-18.4231,-66.5856,PotosÃ­,28069,46
KalwÄkurti,Kalwakurti,16.65,78.48,Telangana,28060,3
Kushva,Kushva,58.2833,59.7333,Sverdlovskaya Oblastâ€™,28060,11
Rhennouch,Rhennouch,33.9397,10.065,GabÃ¨s,28051,102
VillazÃ³n,Villazon,-22.091,-65.596,PotosÃ­,28045,46
Villiers-le-Bel,Villiers-le-Bel,49.0094,2.3911,ÃŽle-de-France,28041,22
Sonora,Sonora,37.9819,-120.3828,California,28035,10
Leichlingen,Leichlingen,51.1167,7.0167,North Rhine-Westphalia,28031,44
Villaviciosa de OdÃ³n,Villaviciosa de Odon,40.3583,-3.9033,Madrid,28030,33
Shaler,Shaler,40.5229,-79.9632,Pennsylvania,28030,10
Esztergom,Esztergom,47.7856,18.7403,KomÃ¡rom-Esztergom,28026,80
Bayang,Bayang,7.793,124.192,Lanao del Sur,28023,4
Kevelaer,Kevelaer,51.5833,6.25,North Rhine-Westphalia,28021,44
Branford,Branford,41.2841,-72.7981,Connecticut,28020,10
Mainit,Mainit,9.535,125.5231,Surigao del Norte,28019,4
Melrose,Melrose,42.4556,-71.059,Massachusetts,28016,10
Bujaru,Bujaru,-1.515,-48.045,ParÃ¡,28016,5
Westport,Westport,41.1428,-73.3475,Connecticut,28016,10
AnajÃ¡s,Anajas,-0.9869,-49.94,ParÃ¡,28012,5
Lomme,Lomme,50.6455,2.9876,Hauts-de-France,28006,22
Tainai,Tainai,38.0667,139.4167,Niigata,28004,1
DÃ¼bendorf,Dubendorf,47.3981,8.6194,ZÃ¼rich,28002,163
Boâ€˜ka,Bo`ka,40.8136,69.2019,Toshkent,28000,59
Billericay,Billericay,51.628,0.4184,Essex,27998,21
Timbiras,Timbiras,-4.255,-43.9408,MaranhÃ£o,27997,5
